Tank ID,Trt ID,TTE,Status
C1,B,0,1
C6,B,4,1
C6,B,7,1
C1,B,19,1
C8,D,19,1
C11,B,20,1
C11,B,20,1
C12,C,20,1
C1,B,21,1
C8,D,21,1
C1,B,22,1
C3,C,22,1
C6,B,22,1
C8,D,22,1
C9,A,23,1
C1,B,24,1
C3,C,24,1
C11,B,24,1
C6,B,25,1
C8,D,25,1
C11,B,25,1
C2,A,26,1
C3,C,26,1
C5,D,26,1
C5,D,26,1
C9,A,26,1
C9,A,26,1
C11,B,26,1
C12,C,26,1
C9,A,26,1
C11,B,26,1
C11,B,26,1
C11,B,26,1
C9,A,26,1
C1,B,27,1
C3,C,27,1
C4,D,27,1
C5,D,27,1
C6,B,27,1
C6,B,27,1
C11,B,27,1
C11,B,27,1
C11,B,27,1
C11,B,27,1
C14,A,27,1
C15,C,27,1
C2,A,27,1
C2,A,27,1
C3,C,27,1
C1,B,27,1
C9,A,27,1
C6,B,28,1
C6,B,28,1
C8,D,28,1
C11,B,28,1
C11,B,28,1
C12,C,28,1
C15,C,28,1
C3,C,28,1
C1,B,29,1
C4,D,29,1
C4,D,29,1
C5,D,29,1
C5,D,29,1
C6,B,29,1
C6,B,29,1
C6,B,29,1
C9,A,29,1
C11,B,29,1
C11,B,29,1
C11,B,29,1
C12,C,29,1
C5,D,29,1
C5,D,29,1
C5,D,29,1
C11,B,29,1
C15,C,29,1
C1,B,30,1
C1,B,30,1
C1,B,30,1
C1,B,30,1
C2,A,30,1
C2,A,30,1
C3,C,30,1
C4,D,30,1
C4,D,30,1
C4,D,30,1
C4,D,30,1
C4,D,30,1
C5,D,30,1
C6,B,30,1
C6,B,30,1
C6,B,30,1
C6,B,30,1
C6,B,30,1
C6,B,30,1
C8,D,30,1
C11,B,30,1
C11,B,30,1
C11,B,30,1
C11,B,30,1
C12,C,30,1
C12,C,30,1
C12,C,30,1
C15,C,30,1
C1,B,30,1
C14,A,30,1
C2,A,31,1
C2,A,31,1
C3,C,31,1
C3,C,31,1
C4,D,31,1
C4,D,31,1
C4,D,31,1
C4,D,31,1
C6,B,31,1
C6,B,31,1
C8,D,31,1
C8,D,31,1
C8,D,31,1
C8,D,31,1
C8,D,31,1
C9,A,31,1
C11,B,31,1
C11,B,31,1
C12,C,31,1
C12,C,31,1
C12,C,31,1
C14,A,31,1
C15,C,31,1
C1,B,31,1
C3,C,31,1
C4,D,31,1
C11,B,31,1
C2,A,32,1
C2,A,32,1
C2,A,32,1
C2,A,32,1
C2,A,32,1
C3,C,32,1
C4,D,32,1
C4,D,32,1
C6,B,32,1
C9,A,32,1
C11,B,32,1
C12,C,32,1
C14,A,32,1
C2,A,32,1
C4,D,32,1
C4,D,32,1
C6,B,32,1
C1,B,33,1
C1,B,33,1
C1,B,33,1
C1,B,33,1
C2,A,33,1
C2,A,33,1
C3,C,33,1
C3,C,33,1
C3,C,33,1
C3,C,33,1
C3,C,33,1
C4,D,33,1
C5,D,33,1
C6,B,33,1
C6,B,33,1
C6,B,33,1
C8,D,33,1
C9,A,33,1
C11,B,33,1
C11,B,33,1
C12,C,33,1
C12,C,33,1
C12,C,33,1
C12,C,33,1
C14,A,33,1
C15,C,33,1
C15,C,33,1
C2,A,33,1
C2,A,33,1
C1,B,34,1
C1,B,34,1
C1,B,34,1
C2,A,34,1
C2,A,34,1
C2,A,34,1
C3,C,34,1
C3,C,34,1
C3,C,34,1
C3,C,34,1
C3,C,34,1
C5,D,34,1
C5,D,34,1
C5,D,34,1
C5,D,34,1
C6,B,34,1
C6,B,34,1
C8,D,34,1
C8,D,34,1
C9,A,34,1
C9,A,34,1
C11,B,34,1
C12,C,34,1
C12,C,34,1
C14,A,34,1
C15,C,34,1
C8,D,34,1
C1,B,35,1
C1,B,35,1
C1,B,35,1
C2,A,35,1
C2,A,35,1
C2,A,35,1
C2,A,35,1
C2,A,35,1
C3,C,35,1
C3,C,35,1
C3,C,35,1
C4,D,35,1
C4,D,35,1
C4,D,35,1
C5,D,35,1
C5,D,35,1
C5,D,35,1
C5,D,35,1
C5,D,35,1
C6,B,35,1
C6,B,35,1
C6,B,35,1
C8,D,35,1
C8,D,35,1
C8,D,35,1
C8,D,35,1
C8,D,35,1
C9,A,35,1
C9,A,35,1
C11,B,35,1
C11,B,35,1
C12,C,35,1
C12,C,35,1
C14,A,35,1
C15,C,35,1
C15,C,35,1
C15,C,35,1
C15,C,35,1
C15,C,35,1
C1,B,36,1
C1,B,36,1
C2,A,36,1
C2,A,36,1
C2,A,36,1
C2,A,36,1
C3,C,36,1
C3,C,36,1
C4,D,36,1
C4,D,36,1
C4,D,36,1
C5,D,36,1
C5,D,36,1
C6,B,36,1
C8,D,36,1
C8,D,36,1
C9,A,36,1
C11,B,36,1
C12,C,36,1
C12,C,36,1
C14,A,36,1
C14,A,36,1
C14,A,36,1
C14,A,36,1
C15,C,36,1
C15,C,36,1
C2,A,36,1
C4,D,36,1
C9,A,36,1
C1,B,37,1
C1,B,37,1
C2,A,37,1
C2,A,37,1
C3,C,37,1
C3,C,37,1
C4,D,37,1
C5,D,37,1
C5,D,37,1
C6,B,37,1
C6,B,37,1
C6,B,37,1
C8,D,37,1
C9,A,37,1
C9,A,37,1
C12,C,37,1
C12,C,37,1
C14,A,37,1
C14,A,37,1
C14,A,37,1
C14,A,37,1
C15,C,37,1
C15,C,37,1
C11,B,37,1
C1,B,38,1
C2,A,38,1
C3,C,38,1
C4,D,38,1
C4,D,38,1
C5,D,38,1
C6,B,38,1
C8,D,38,1
C14,A,38,1
C14,A,38,1
C15,C,38,1
C15,C,38,1
C4,D,38,1
C8,D,38,1
C8,D,38,1
C11,B,38,1
C15,C,38,1
C5,D,39,1
C8,D,39,1
C8,D,39,1
C8,D,39,1
C12,C,39,1
C14,A,39,1
C14,A,39,1
C15,C,39,1
C2,A,39,1
C3,C,39,1
C8,D,39,1
C14,A,39,1
C2,A,40,1
C2,A,40,1
C4,D,40,1
C8,D,40,1
C9,A,40,1
C14,A,40,1
C14,A,40,1
C15,C,40,1
C1,B,40,1
C1,B,40,1
C9,A,40,1
C11,B,40,1
C1,B,41,1
C1,B,41,1
C12,C,41,1
C12,C,41,1
C14,A,41,1
C14,A,41,1
C15,C,41,1
C1,B,42,1
C8,D,42,1
C1,B,43,1
C1,B,43,1
C9,A,43,1
C14,A,43,1
C15,C,43,1
C11,B,43,1
C9,A,44,1
C9,A,44,1
C12,C,44,1
C4,D,45,1
C4,D,45,1
C9,A,45,1
C15,C,45,1
C15,C,45,1
C9,A,45,1
C14,A,45,1
C14,A,45,1
C14,A,45,1
C15,C,45,1
C9,A,45,1
C4,D,46,1
C9,A,46,1
C2,A,47,1
C4,D,47,1
C5,D,47,1
C14,A,47,1
C14,A,47,1
C14,A,47,1
C2,A,48,1
C4,D,48,1
C6,B,48,1
C8,D,48,1
C9,A,48,1
C9,A,48,1
C9,A,48,1
C14,A,48,1
C14,A,48,1
C15,C,48,1
C1,B,49,1
C9,A,49,1
C9,A,49,1
C14,A,49,1
C15,C,49,1
C15,C,49,1
C9,A,50,1
C14,A,50,1
C3,C,51,1
