Trt.ID,Tank.ID,Dark body,Exopthlamia,Mouth Haemorrhage,Skin Haemorrhage,Eye Haemorrhage,Ascites,Swollen Spleen,Visceral Haemorrhage,Grey Kidney,Swollen Kidney
D,E21,N,N,Y,Y,N,N,N,Y,Y,Y
A,E18,N,N,Y,Y,N,N,N,N,N,Y
C,E08,N,N,N,N,N,N,N,N,Y,Y
B,E12,N,N,Y,N,N,N,N,N,Y,Y
A,E16,N,N,Y,N,N,N,Y,N,N,Y
E,E17,N,N,N,Y,N,N,N,Y,Y,Y
E,E17,N,N,N,N,N,N,Y,Y,Y,Y
E,E31,N,N,N,N,N,N,Y,Y,Y,Y
D,E10,N,N,Y,Y,N,N,Y,Y,Y,Y
B,E22,N,N,N,Y,N,N,Y,Y,Y,Y
A,E20,N,Y,Y,N,Y,N,Y,Y,Y,Y
D,E10,N,N,N,N,N,N,N,Y,Y,Y
B,E22,N,N,Y,N,N,N,N,N,Y,Y
B,E22,N,N,N,N,N,N,N,N,N,Y
E,E04,N,N,Y,Y,Y,N,Y,N,Y,Y
C,E08,N,N,N,N,N,N,Y,Y,Y,Y
C,E08,N,N,Y,N,N,N/AP,N/AP,N/AP,N/AP,N/AP
C,E08,N,N,Y,N,N,N,Y,Y,N,Y
C,E05,N,N,Y,Y,N,N,N,N,N,Y
A,E06,N,N,N,N,N,N,N,N,N,Y
A,E06,N,N,Y,Y,N,N,N,N,N,Y
C,E05,N,N,N,N,N,N/AP,N/AP,N/AP,N/AP,N/AP
A,E06,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E07,N,N,N,N,N,N,N,N,Y,Y
B,E07,N,N,Y,Y,N,N/AP,N/AP,N/AP,N/AP,N/AP
B,E07,N,N,Y,N,N,N,Y,Y,Y,Y
D,E10,N,N,N,Y,Y,N/AP,N/AP,N/AP,N/AP,N/AP
D,E10,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
B,E12,N,N,N,N,N,N,N,N,Y,Y
D,E03,N,N,N,N,N,N/AP,N/AP,N/AP,N/AP,N/AP
A,E02,N,N,Y,N,N,N,N,Y,Y,Y
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
C,E13,N,N,Y,Y,N,N,N,N,N,Y
C,E13,N,N,Y,N,N,N,N,N,N,Y
C,E13,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP,N/AP
E,E15,N,N,N,Y,N,N,Y,Y,Y,Y
A,E18,N,N,Y,Y,N,N/AP,N/AP,N/AP,N/AP,N/AP
A,E20,N,N,Y,N,N,N,N,N,Y,Y
D,E21,N,N,Y,Y,N,N,N,N,Y,Y
